title,year,hour,Rated
142. There Will Be Blood,2007,2h 38m,R
143. The Sixth Sense,1999,1h 47m,PG-13
144. Ran,1985,2h 40m,R
145. Casino,1995,2h 58m,R
146. Top Gun: Maverick,2022,2h 10m,PG-13
147. No Country for Old Men,2007,2h 2m,R
148. The Thing,1982,1h 49m,R
149. Unforgiven,1992,2h 10m,R
150. Pan's Labyrinth,2006,1h 58m,R
151. Kill Bill: Vol. 1,2003,1h 51m,R
152. A Beautiful Mind,2001,2h 15m,PG-13
153. Prisoners,2013,2h 33m,R
154. The Treasure of the Sierra Madre,1948,2h 6m,Approved
155. Yojimbo,1961,1h 50m,Not Rated
156. Finding Nemo,2003,1h 40m,G
157. Howl's Moving Castle,2004,1h 59m,PG
158. The Best of Youth,2003,6h 14m,R
159. The Great Escape,1963,2h 52m,Approved
160. Monty Python and the Holy Grail,1975,1h 31m,PG
161. The Elephant Man,1980,2h 4m,PG
162. Klaus,2019,1h 36m,PG
163. Dial M for Murder,1954,1h 45m,PG
164. Gone with the Wind,1939,3h 58m,G
165. The Secret in Their Eyes,2009,2h 9m,R
166. Chinatown,1974,2h 10m,R
"167. Lock, Stock and Two Smoking Barrels",1998,1h 47m,R
168. V for Vendetta,2005,2h 12m,R
169. Rashomon,1950,1h 28m,Not Rated
170. Inside Out,2015,1h 35m,PG
"171. Three Billboards Outside Ebbing, Missouri",2017,1h 55m,R
172. Catch Me If You Can,2002,2h 21m,PG-13
173. Trainspotting,1996,1h 33m,R
174. The Bridge on the River Kwai,1957,2h 41m,PG
175. Raging Bull,1980,2h 9m,R
176. Harry Potter and the Deathly Hallows: Part 2,2011,2h 10m,PG-13
177. Fargo,1996,1h 38m,R
178. The Wild Robot,2024,1h 42m,PG
179. Warrior,2011,2h 20m,PG-13
180. Million Dollar Baby,2004,2h 12m,PG-13
181. Gran Torino,2008,1h 56m,R
182. Dead Poets Society,1989,2h 8m,PG
183. Ben-Hur,1959,3h 32m,G
184. Mad Max: Fury Road,2015,2h,R
185. Barry Lyndon,1975,3h 5m,PG
186. My Neighbor Totoro,1988,1h 26m,G
187. Children of Heaven,1997,1h 29m,PG
188. Hacksaw Ridge,2016,2h 19m,R
189. The Grand Budapest Hotel,2014,1h 39m,R
190. 12 Years a Slave,2013,2h 14m,R
191. Before Sunrise,1995,1h 41m,R
192. Spider-Man: No Way Home,2021,2h 28m,PG-13
193. Blade Runner,1982,1h 57m,R
194. Memories of Murder,2003,2h 12m,Not Rated
195. Gone Girl,2014,2h 29m,R
196. Ratatouille,2007,1h 51m,G
197. How to Train Your Dragon,2010,1h 38m,PG
"198. Monsters, Inc.",2001,1h 32m,G
199. Jaws,1975,2h 4m,PG
200. In the Name of the Father,1993,2h 13m,R
201. Wild Tales,2014,2h 2m,R
202. The Gold Rush,1925,1h 35m,Approved
203. Ford v Ferrari,2019,2h 32m,PG-13
204. Sherlock Jr.,1924,45m,Passed
205. Mary and Max,2009,1h 32m,Not Rated
206. The Deer Hunter,1978,3h 3m,R
207. The Wages of Fear,1953,2h 36m,Not Rated
208. The General,1926,1h 18m,Passed
209. Mr. Smith Goes to Washington,1939,2h 9m,Approved
210. On the Waterfront,1954,1h 48m,Approved
211. Logan,2017,2h 17m,R
212. Rocky,1976,2h,PG
213. Wild Strawberries,1957,1h 32m,Not Rated
214. Tokyo Story,1953,2h 17m,Not Rated
215. The Third Man,1949,1h 44m,Approved
216. Maharaja,2024,2h 21m,
217. Spotlight,2015,2h 9m,R
218. Pirates of the Caribbean: The Curse of the Black Pearl,2003,2h 23m,PG-13
219. The Terminator,1984,1h 47m,R
220. The Big Lebowski,1998,1h 57m,R
221. La haine,1995,1h 38m,Not Rated
222. The Seventh Seal,1957,1h 36m,Not Rated
223. Jai Bhim,2021,2h 44m,Approved
224. Room,2015,1h 58m,R
225. Hotel Rwanda,2004,2h 1m,PG-13
226. Platoon,1986,2h,R
227. The Best Years of Our Lives,1946,2h 50m,Approved
228. Before Sunset,2004,1h 20m,R
229. The Sound of Music,1965,2h 52m,G
230. The Exorcist,1973,2h 2m,R
231. The Incredibles,2004,1h 55m,PG
232. Hachi: A Dog's Tale,2009,1h 33m,G
233. Rush,2013,2h 3m,R
234. The Wizard of Oz,1939,1h 42m,G
235. The Passion of Joan of Arc,1928,1h 54m,Passed
236. A Silent Voice: The Movie,2016,2h 10m,Not Rated
237. Stand by Me,1986,1h 29m,R
238. The Iron Giant,1999,1h 26m,PG
239. My Father and My Son,2005,1h 52m,Not Rated
240. The Handmaiden,2016,2h 25m,Not Rated
241. Network,1976,2h 1m,R
242. The Battle of Algiers,1966,2h 1m,Not Rated
243. The Grapes of Wrath,1940,2h 9m,Approved
244. To Be or Not to Be,1942,1h 39m,Approved
245. Into the Wild,2007,2h 28m,R
246. Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,1h 57m,TV-MA
247. The Help,2011,2h 26m,PG-13
248. Groundhog Day,1993,1h 41m,PG
249. Drishyam,2015,2h 43m,Not Rated
250. Gangs of Wasseypur,2012,5h 21m,Not Rated
